name,type,stats,description,colection,card_link
"Yasharn, Implacable Earth",Legendary Creature | Elemental Boar,4/4,"When Yasharn enters the battlefield, search your library for a basic Forest card and a basic Plains card, reveal those cards, put them into your hand, then shuffle. Players can’t pay life or sacrifice nonland permanents to cast spells or activate abilities.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/240s/yasharn-implacable-earth
"Zagras, Thief of Heartbeats",Legendary Creature | Vampire Rogue,4/4,"This spell costs   less to cast for each creature in your party. Flying, deathtouch, haste Other creatures you control have deathtouch. Whenever a creature you control deals combat damage to a planeswalker, destroy that planeswalker.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/241p/zagras-thief-of-heartbeats
"Zagras, Thief of Heartbeats",Legendary Creature | Vampire Rogue,4/4,"This spell costs   less to cast for each creature in your party. Flying, deathtouch, haste Other creatures you control have deathtouch. Whenever a creature you control deals combat damage to a planeswalker, destroy that planeswalker.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/241s/zagras-thief-of-heartbeats
"Zareth San, the Trickster",Legendary Creature | Merfolk Rogue,4/4,"Flash , Return an unblocked attacking Rogue you control to its owner’s hand: Put Zareth San, the Trickster from your hand onto the battlefield tapped and attacking. Whenever Zareth San deals combat damage to a player, you may put target permanent card from that player’s graveyard onto the battlefield under your control.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/242p/zareth-san-the-trickster
"Zareth San, the Trickster",Legendary Creature | Merfolk Rogue,4/4,"Flash , Return an unblocked attacking Rogue you control to its owner’s hand: Put Zareth San, the Trickster from your hand onto the battlefield tapped and attacking. Whenever Zareth San deals combat damage to a player, you may put target permanent card from that player’s graveyard onto the battlefield under your control.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/242s/zareth-san-the-trickster
Forsaken Monument,Legendary Artifact,-,"Colorless creatures you control get +2/+2. Whenever you tap a permanent for  , add an additional  . Whenever you cast a colorless spell, you gain 2 life.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/244p/forsaken-monument
Forsaken Monument,Legendary Artifact,-,"Colorless creatures you control get +2/+2. Whenever you tap a permanent for  , add an additional  . Whenever you cast a colorless spell, you gain 2 life.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/244s/forsaken-monument
Lithoform Engine,Legendary Artifact,-,",  : Copy target activated or triggered ability you control. You may choose new targets for the copy. ,  : Copy target instant or sorcery spell you control. You may choose new targets for the copy. ,  : Copy target permanent spell you control. ",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/245p/lithoform-engine
Lithoform Engine,Legendary Artifact,-,",  : Copy target activated or triggered ability you control. You may choose new targets for the copy. ,  : Copy target instant or sorcery spell you control. You may choose new targets for the copy. ,  : Copy target permanent spell you control. ",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/245s/lithoform-engine
Myriad Construct,Artifact Creature | Construct,4/4,"Kicker  If Myriad Construct was kicked, it enters the battlefield with a +1/+1 counter on it for each nonbasic land your opponents control. When Myriad Construct becomes the target of a spell, sacrifice it and create a number of 1/1 colorless Construct artifact creature tokens equal to its power.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/246p/myriad-construct
Myriad Construct,Artifact Creature | Construct,4/4,"Kicker  If Myriad Construct was kicked, it enters the battlefield with a +1/+1 counter on it for each nonbasic land your opponents control. When Myriad Construct becomes the target of a spell, sacrifice it and create a number of 1/1 colorless Construct artifact creature tokens equal to its power.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/246s/myriad-construct
Skyclave Relic,Artifact,-,"Kicker  Indestructible When Skyclave Relic enters the battlefield, if it was kicked, create two tapped tokens that are copies of Skyclave Relic. : Add one mana of any color.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/252p/skyclave-relic
Skyclave Relic,Artifact,-,"Kicker  Indestructible When Skyclave Relic enters the battlefield, if it was kicked, create two tapped tokens that are copies of Skyclave Relic. : Add one mana of any color.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/252s/skyclave-relic
Branchloft Pathway,Land,-,: Add  . : Add  .,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/258s/branchloft-pathway-boulderloft-pathway
Brightclimb Pathway,Land,-,: Add  . : Add  .,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/259s/brightclimb-pathway-grimclimb-pathway
Clearwater Pathway,Land,-,: Add  . : Add  .,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/260s/clearwater-pathway-murkwater-pathway
Cragcrown Pathway,Land,-,: Add  . : Add  .,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/261s/cragcrown-pathway-timbercrown-pathway
Crawling Barrens,Land,-,: Add  . : Put two +1/+1 counters on Crawling Barrens. Then you may have it become a 0/0 Elemental creature until end of turn. It’s still a land.,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/262p/crawling-barrens
Crawling Barrens,Land,-,: Add  . : Put two +1/+1 counters on Crawling Barrens. Then you may have it become a 0/0 Elemental creature until end of turn. It’s still a land.,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/262s/crawling-barrens
Needleverge Pathway,Land,-,: Add  . : Add  .,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/263s/needleverge-pathway-pillarverge-pathway
Riverglide Pathway,Land,-,: Add  . : Add  .,Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/264s/riverglide-pathway-lavaglide-pathway
Throne of Makindi,Land,-,": Add  . ,  : Put a charge counter on Throne of Makindi. , Remove a charge counter from Throne of Makindi: Add two mana of any one color. Spend this mana only to cast kicked spells.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/265p/throne-of-makindi
Throne of Makindi,Land,-,": Add  . ,  : Put a charge counter on Throne of Makindi. , Remove a charge counter from Throne of Makindi: Add two mana of any one color. Spend this mana only to cast kicked spells.",Zendikar Rising Promos (PZNR),https://scryfall.com/card/pznr/265s/throne-of-makindi
"Moraug, Fury of Akoum",Legendary Creature | Minotaur Warrior,6/6,"Each creature you control gets +1/+0 for each time it has attacked this turn.  — Whenever a land enters the battlefield under your control, if it’s your main phase, there’s an additional combat phase after this phase. At the beginning of that combat, untap all creatures you control.",2021 Lunar New Year (PL21),https://scryfall.com/card/pl21/1/moraug-fury-of-akoum
"Sethron, Hurloon General",Legendary Creature | Minotaur Warrior,4/4,"Whenever Sethron, Hurloon General or another nontoken Minotaur enters the battlefield under your control, create a 2/3 red Minotaur creature token. : Minotaurs you control get +1/+0 and gain menace and haste until end of turn. ",2021 Lunar New Year (PL21),https://scryfall.com/card/pl21/1%E2%98%85/sethron-hurloon-general
Ox of Agonas,Creature | Ox,4/2,"When Ox of Agonas enters the battlefield, discard your hand, then draw three cards. Escape— , Exile eight other cards from your graveyard.  Ox of Agonas escapes with a +1/+1 counter on it.",2021 Lunar New Year (PL21),https://scryfall.com/card/pl21/2/ox-of-agonas
Minotaur,Token Creature | Minotaur,2/3,-,2021 Lunar New Year (PL21),https://scryfall.com/card/pl21/2%E2%98%85/minotaur
Flooded Strand,Land,-,", Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/1/flooded-strand
Polluted Delta,Land,-,", Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/2/polluted-delta
Bloodstained Mire,Land,-,", Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/3/bloodstained-mire
Wooded Foothills,Land,-,", Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/4/wooded-foothills
Windswept Heath,Land,-,", Pay 1 life, Sacrifice Windswept Heath: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/5/windswept-heath
Marsh Flats,Land,-,", Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/6/marsh-flats
Scalding Tarn,Land,-,", Pay 1 life, Sacrifice Scalding Tarn: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/7/scalding-tarn
Verdant Catacombs,Land,-,", Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/8/verdant-catacombs
Arid Mesa,Land,-,", Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/9/arid-mesa
Misty Rainforest,Land,-,", Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/10/misty-rainforest
Seachrome Coast,Land,-,Seachrome Coast enters the battlefield tapped unless you control two or fewer other lands. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/11/seachrome-coast
Darkslick Shores,Land,-,Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/12/darkslick-shores
Blackcleave Cliffs,Land,-,Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/13/blackcleave-cliffs
Copperline Gorge,Land,-,Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/14/copperline-gorge
Razorverge Thicket,Land,-,Razorverge Thicket enters the battlefield tapped unless you control two or fewer other lands. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/15/razorverge-thicket
Sea of Clouds,Land,-,Sea of Clouds enters the battlefield tapped unless you have two or more opponents. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/16/sea-of-clouds
Morphic Pool,Land,-,Morphic Pool enters the battlefield tapped unless you have two or more opponents. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/17/morphic-pool
Luxury Suite,Land,-,Luxury Suite enters the battlefield tapped unless you have two or more opponents. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/18/luxury-suite
Spire Garden,Land,-,Spire Garden enters the battlefield tapped unless you have two or more opponents. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/19/spire-garden
Bountiful Promenade,Land,-,Bountiful Promenade enters the battlefield tapped unless you have two or more opponents. : Add   or  .,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/20/bountiful-promenade
Ancient Tomb,Land,-,: Add  . Ancient Tomb deals 2 damage to you.,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/21/ancient-tomb
Cavern of Souls,Land,-,"As Cavern of Souls enters the battlefield, choose a creature type. : Add  . : Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can’t be countered.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/22/cavern-of-souls
Celestial Colonnade,Land,-,"Celestial Colonnade enters the battlefield tapped. : Add   or  . : Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It’s still a land.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/23/celestial-colonnade
Creeping Tar Pit,Land,-,Creeping Tar Pit enters the battlefield tapped. : Add   or  . : Creeping Tar Pit becomes a 3/2 blue and black Elemental creature until end of turn and can’t be blocked this turn. It’s still a land.,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/24/creeping-tar-pit
Grove of the Burnwillows,Land,-,: Add  . : Add   or  . Each opponent gains 1 life.,Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/25/grove-of-the-burnwillows
Horizon Canopy,Land,-,", Pay 1 life: Add   or  . ,  , Sacrifice Horizon Canopy: Draw a card.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/26/horizon-canopy
Prismatic Vista,Land,-,", Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/27/prismatic-vista
Strip Mine,Land,-,": Add  . , Sacrifice Strip Mine: Destroy target land.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/28/strip-mine
"Valakut, the Molten Pinnacle",Land,-,"Valakut, the Molten Pinnacle enters the battlefield tapped. Whenever a Mountain enters the battlefield under your control, if you control at least five other Mountains, you may have Valakut, the Molten Pinnacle deal 3 damage to any target. : Add  .",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/29/valakut-the-molten-pinnacle
Wasteland,Land,-,": Add  . , Sacrifice Wasteland: Destroy target nonbasic land.",Zendikar Rising Expeditions (ZNE),https://scryfall.com/card/zne/30/wasteland
Aerial Responder,Creature | Dwarf Soldier,2/3,"Flying, vigilance, lifelink",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/1/aerial-responder
Aeronaut Admiral,Creature | Human Pilot,3/1,Flying Vehicles you control have flying.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/2/aeronaut-admiral
Aether Inspector,Creature | Dwarf Artificer,2/3,"Vigilance When Aether Inspector enters the battlefield, you get    . Whenever Aether Inspector attacks, you may pay  . If you do, create a 1/1 colorless Servo artifact creature token.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/3/aether-inspector
Aetherstorm Roc,Creature | Bird,3/3,"Flying Whenever Aetherstorm Roc or another creature enters the battlefield under your control, you get    . Whenever Aetherstorm Roc attacks, you may pay  . If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/4/aetherstorm-roc
Airdrop Aeronauts,Creature | Dwarf Scout,4/3,"Flying  — When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/5/airdrop-aeronauts
Alley Evasion,Instant,-,Choose one — • Target creature you control gets +1/+2 until end of turn. • Return target creature you control to its owner’s hand.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/6/alley-evasion
Angel of Invention,Creature | Angel,2/1,"Flying, vigilance, lifelink Fabricate 2  Other creatures you control get +1/+1.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/7/angel-of-invention
Audacious Infiltrator,Creature | Dwarf Rogue,3/1,Audacious Infiltrator can’t be blocked by artifact creatures.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/8/audacious-infiltrator
Authority of the Consuls,Enchantment,-,"Creatures your opponents control enter the battlefield tapped. Whenever a creature enters the battlefield under an opponent’s control, you gain 1 life.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/9/authority-of-the-consuls
Aviary Mechanic,Creature | Dwarf Artificer,2/2,"When Aviary Mechanic enters the battlefield, you may return another permanent you control to its owner’s hand.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/10/aviary-mechanic
Built to Last,Instant,-,"Target creature gets +2/+2 until end of turn. If it’s an artifact creature, it gains indestructible until end of turn. ",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/11/built-to-last
Cataclysmic Gearhulk,Artifact Creature | Construct,4/5,"Vigilance When Cataclysmic Gearhulk enters the battlefield, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/12/cataclysmic-gearhulk
Conviction,Enchantment | Aura,-,Enchant creature Enchanted creature gets +1/+3. : Return Conviction to its owner’s hand.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/13/conviction
Countless Gears Renegade,Creature | Dwarf Artificer,2/2," — When Countless Gears Renegade enters the battlefield, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/14/countless-gears-renegade
Dawnfeather Eagle,Creature | Bird,3/3,"Flying When Dawnfeather Eagle enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/15/dawnfeather-eagle
Eddytrail Hawk,Creature | Bird,1/2,"Flying When Eddytrail Hawk enters the battlefield, you get    . Whenever Eddytrail Hawk attacks, you may pay  . If you do, another target attacking creature gains flying until end of turn.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/16/eddytrail-hawk
Fairgrounds Warden,Creature | Dwarf Soldier,1/3,"When Fairgrounds Warden enters the battlefield, exile target creature an opponent controls until Fairgrounds Warden leaves the battlefield.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/17/fairgrounds-warden
Fragmentize,Sorcery,-,Destroy target artifact or enchantment with mana value 4 or less.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/18/fragmentize
Fumigate,Sorcery,-,Destroy all creatures. You gain 1 life for each creature destroyed this way.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/19/fumigate
Gearshift Ace,Creature | Dwarf Pilot,2/1,"First strike Whenever Gearshift Ace crews a Vehicle, that Vehicle gains first strike until end of turn.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/20/gearshift-ace
Glint-Sleeve Artisan,Creature | Dwarf Artificer,2/2,Fabricate 1 ,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/21/glint-sleeve-artisan
Herald of the Fair,Creature | Human,3/2,"When Herald of the Fair enters the battlefield, target creature you control gets +1/+1 until end of turn.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/22/herald-of-the-fair
Impeccable Timing,Instant,-,Impeccable Timing deals 3 damage to target attacking or blocking creature.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/23/impeccable-timing
Inspired Charge,Instant,-,Creatures you control get +2/+1 until end of turn.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/24/inspired-charge
Master Trinketeer,Creature | Dwarf Artificer,3/2,Servos and Thopters you control get +1/+1. : Create a 1/1 colorless Servo artifact creature token.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/25/master-trinketeer
Propeller Pioneer,Creature | Human Artificer,2/1,Flying Fabricate 1 ,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/26/propeller-pioneer
Refurbish,Sorcery,-,Return target artifact card from your graveyard to the battlefield.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/27/refurbish
Restoration Specialist,Creature | Dwarf Artificer,2/1,", Sacrifice Restoration Specialist: Return up to one target artifact card and up to one target enchantment card from your graveyard to your hand.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/28/restoration-specialist
Revoke Privileges,Enchantment | Aura,-,"Enchant creature Enchanted creature can’t attack, block, or crew Vehicles.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/29/revoke-privileges
Servo Exhibition,Sorcery,-,Create two 1/1 colorless Servo artifact creature tokens.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/30/servo-exhibition
Skywhaler's Shot,Instant,-,Destroy target creature with power 3 or greater. Scry 1. ,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/31/skywhalers-shot
"Sram, Senior Edificer",Legendary Creature | Dwarf Advisor,2/2,"Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/32/sram-senior-edificer
Sram's Expertise,Sorcery,-,Create three 1/1 colorless Servo artifact creature tokens. You may cast a spell with mana value 3 or less from your hand without paying its mana cost.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/33/srams-expertise
Thopter Arrest,Enchantment,-,"When Thopter Arrest enters the battlefield, exile target artifact or creature an opponent controls until Thopter Arrest leaves the battlefield.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/34/thopter-arrest
Toolcraft Exemplar,Creature | Dwarf Artificer,1/1,"At the beginning of combat on your turn, if you control an artifact, Toolcraft Exemplar gets +2/+1 until end of turn. If you control three or more artifacts, it also gains first strike until end of turn.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/35/toolcraft-exemplar
Visionary Augmenter,Creature | Dwarf Artificer,2/1,Fabricate 2 ,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/36/visionary-augmenter
Wispweaver Angel,Creature | Angel,4/4,"Flying When Wispweaver Angel enters the battlefield, you may exile another target creature you control, then return that card to the battlefield under its owner’s control.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/37/wispweaver-angel
Aether Meltdown,Enchantment | Aura,-,"Flash  Enchant creature or Vehicle When Aether Meltdown enters the battlefield, you get    . Enchanted creature gets -4/-0.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/38/aether-meltdown
Aether Swooper,Creature | Vedalken Artificer,1/2,"Flying When Aether Swooper enters the battlefield, you get    . Whenever Aether Swooper attacks, you may pay  . If you do, create a 1/1 colorless Servo artifact creature token.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/39/aether-swooper
Aether Theorist,Creature | Vedalken Rogue,1/3,"When Aether Theorist enters the battlefield, you get    . , Pay  : Scry 1. ",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/40/aether-theorist
Aether Tradewinds,Instant,-,Return target permanent you control and target permanent you don’t control to their owners’ hands.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/41/aether-tradewinds
"Baral, Chief of Compliance",Legendary Creature | Human Wizard,1/3,"Instant and sorcery spells you cast cost   less to cast. Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/42/baral-chief-of-compliance
Baral's Expertise,Sorcery,-,Return up to three target artifacts and/or creatures to their owners’ hands. You may cast a spell with mana value 4 or less from your hand without paying its mana cost.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/43/barals-expertise
Ceremonious Rejection,Instant,-,Counter target colorless spell.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/44/ceremonious-rejection
Confiscation Coup,Sorcery,-,"Choose target artifact or creature. You get    , then you may pay an amount of   equal to that permanent’s mana value. If you do, gain control of it.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/45/confiscation-coup
Disallow,Instant,-,"Counter target spell, activated ability, or triggered ability. ",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/46/disallow
Era of Innovation,Enchantment,-,"Whenever an artifact or Artificer enters the battlefield under your control, you may pay  . If you do, you get    . Pay  , Sacrifice Era of Innovation: Draw three cards.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/47/era-of-innovation
Gearseeker Serpent,Creature | Serpent,5/6,This spell costs   less to cast for each artifact you control. : Gearseeker Serpent can’t be blocked this turn.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/48/gearseeker-serpent
Glimmer of Genius,Instant,-,"Scry 2, then draw two cards. You get    .",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/49/glimmer-of-genius
Glint-Nest Crane,Creature | Bird,1/3,"Flying When Glint-Nest Crane enters the battlefield, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/50/glint-nest-crane
Hinterland Drake,Creature | Drake,2/3,Flying Hinterland Drake can’t block artifact creatures.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/51/hinterland-drake
Ice Over,Enchantment | Aura,-,Enchant artifact or creature Enchanted permanent doesn’t untap during its controller’s untap step.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/52/ice-over
Illusionist's Stratagem,Instant,-,"Exile up to two target creatures you control, then return those cards to the battlefield under their owner’s control. Draw a card.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/53/illusionists-stratagem
Leave in the Dust,Instant,-,Return target nonland permanent to its owner’s hand. Draw a card.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/54/leave-in-the-dust
Malfunction,Enchantment | Aura,-,"Enchant artifact or creature When Malfunction enters the battlefield, tap enchanted permanent. Enchanted permanent doesn’t untap during its controller’s untap step.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/55/malfunction
Metallic Rebuke,Instant,-,Improvise  Counter target spell unless its controller pays  .,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/56/metallic-rebuke
Metallurgic Summonings,Enchantment,-,"Whenever you cast an instant or sorcery spell, create an X/X colorless Construct artifact creature token, where X is that spell’s mana value. , Exile Metallurgic Summonings: Return all instant and sorcery cards from your graveyard to your hand. Activate only if you control six or more artifacts.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/57/metallurgic-summonings
Minister of Inquiries,Creature | Vedalken Advisor,1/2,"When Minister of Inquiries enters the battlefield, you get    . , Pay  : Target player mills three cards.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/58/minister-of-inquiries
Nimble Innovator,Creature | Vedalken Artificer,2/2,"When Nimble Innovator enters the battlefield, draw a card.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/59/nimble-innovator
"Padeem, Consul of Innovation",Legendary Creature | Vedalken Artificer,1/4,"Artifacts you control have hexproof. At the beginning of your upkeep, if you control the artifact with the highest mana value or tied for the highest mana value, draw a card.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/60/padeem-consul-of-innovation
Paradoxical Outcome,Instant,-,"Return any number of target nonland, nontoken permanents you control to their owners’ hands. Draw a card for each card returned to your hand this way.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/61/paradoxical-outcome
Revolutionary Rebuff,Instant,-,Counter target nonartifact spell unless its controller pays  .,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/62/revolutionary-rebuff
Select for Inspection,Instant,-,Return target tapped creature to its owner’s hand. Scry 1. ,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/63/select-for-inspection
Shielded Aether Thief,Creature | Vedalken Rogue,0/4,"Flash  Whenever Shielded Aether Thief blocks, you get    . , Pay  : Draw a card.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/64/shielded-aether-thief
Shipwreck Moray,Creature | Fish,0/5,"When Shipwreck Moray enters the battlefield, you get    . Pay  : Shipwreck Moray gets +2/-2 until end of turn.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/65/shipwreck-moray
Shrewd Negotiation,Sorcery,-,Exchange control of target artifact you control and target artifact or creature you don’t control.,Kaladesh Remastered (KLR),https://scryfall.com/card/klr/66/shrewd-negotiation
Skyship Plunderer,Creature | Human Pirate,2/1,"Flying Whenever Skyship Plunderer deals combat damage to a player, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/67/skyship-plunderer
Tezzeret's Ambition,Sorcery,-,"Draw three cards. If you control no artifacts, discard a card.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/68/tezzerets-ambition
Thriving Turtle,Creature | Turtle,0/3,"When Thriving Turtle enters the battlefield, you get    . Whenever Thriving Turtle attacks, you may pay  . If you do, put a +1/+1 counter on it.",Kaladesh Remastered (KLR),https://scryfall.com/card/klr/69/thriving-turtle
